TS,CAND,EVENT_ID,CLIENT,JOB_ID,STAGE,TYPE,BY,NOW,HIRE_DATE
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581269409x995330609550017200,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581269995x412073644869421760,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581268199x827337591856722700,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581270447x522661784938443650,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581267539x247134232422548500,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581267857x522323137341280900,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
2026-08-24 14:21:07.153,1787581263015x323501887849934100,1787581268757x469083666934055230,AVIV ,1786094117912x748763187480100900,Technical Interview ,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581380537x631975177014537900,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581380886x455146137795093200,AVIV ,1786094117912x748763187480100900,,,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581380217x959282124442556300,AVIV ,1786094117912x748763187480100900,Hired,Hired,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581378247x275222083787604260,AVIV ,1786094117912x748763187480100900,Interview 1,Interview 1,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581379205x439371105717510700,AVIV ,1786094117912x748763187480100900,Interview 2,Interview 2,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581379550x211337891537055400,AVIV ,1786094117912x748763187480100900,Interview 3,Interview 3,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581377924x113351643324227650,AVIV ,1786094117912x748763187480100900,Moved to ATS,Offsite,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581379935x299351449495328000,AVIV ,1786094117912x748763187480100900,Offer,Offer,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581377192x407705872943098240,AVIV ,1786094117912x748763187480100900,Positive response,Positive Response,Rodrigo Gomes,Sequence,
2026-08-24 14:22:56.560,1787581368976x377190459819936260,1787581377501x482187790228122600,AVIV ,1786094117912x748763187480100900,Recruiter Screen,Recruiter Screen,Rodrigo Gomes,Sequence,
