TIMESTAMP_UTC,CANDIDATE_ID,CLIENT,JOB_ID,CREATED_BY,EVENTS_AT_SAME_TIMESTAMP,STAGES_WRITTEN,CANDIDATE_STAGE_NOW,PHANTOM_HIRED,REAL_HIRE_DATE
2026-08-25 16:12:12.111,1787674236106x857406444445089300,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.168,1787674234883x877147071131562100,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.335,1787674233384x107089389358823840,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.388,1787674234130x301350805189770430,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.415,1787674232565x267482852448598140,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.500,1787674231059x109872891033986560,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.506,1787674231861x687891354881494300,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.637,1787674230312x271907397656970800,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.659,1787674229529x178611406177007000,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.813,1787674227573x385128392017779260,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.832,1787674228720x891404065247849400,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.868,1787674226754x163689475521513020,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:12.985,1787674226059x921700028633030100,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:13.163,1787674225355x642045642195375100,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:13.179,1787674224606x534452564902778700,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:13.224,1787674223908x188004733824204800,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:13.425,1787674223101x282044731387322430,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,8,Hired | Moved to ATS | Offer | Onsite | Positive response | Recruiter Screen,Sequence,YES,
2026-08-25 16:12:13.569,1787674222381x614934099691162300,AVIV ,1779970626328x834670130159681500,Mikhail Kuzmin,3,Hired,Sequence,YES,
